Ginger,34,100,69,176,101,0,#B06500
Glaucous,216,47,71,96,130,182,#6082B6
Glitter,234,8,98,230,232,250,#E6E8FA
Glossy Grape,285,18,70,171,146,179,#AB92B3
GO green,156,100,67,0,171,102,#00AB66
Gold (metallic),46,74,83,212,175,55,#D4AF37
Gold (web) (Golden),51,100,100,255,215,0,#FFD700
Gold Fusion,43,41,52,133,117,78,#85754E
Golden brown,36,86,60,153,101,21,#996515
Golden poppy,46,100,99,252,194,0,#FCC200
Golden yellow,52,100,100,255,223,0,#FFDF00
Goldenrod,43,85,85,218,165,32,#DAA520
Granite Gray,0,0,40,103,103,103,#676767
Granny Smith Apple,113,30,89,168,228,160,#A8E4A0
Grape,272,73,66,111,45,168,#6F2DA8
Gray,0,0,50,128,128,128,#808080
Gray (HTML/CSS gray),0,0,50,128,128,128,#808080
Gray (X11 gray),0,0,75,190,190,190,#BEBEBE
Gray-asparagus,117,22,35,70,89,69,#465945
Gray-blue,229,19,67,140,146,172,#8C92AC
Green (Color Wheel) (X11 green),120,100,100,0,255,0,#00FF00
Green (Crayola),158,84,67,28,172,120,#1CAC78
Green (HTML/CSS color),120,100,50,0,128,0,#008000
Green (Munsell),163,100,66,0,168,119,#00A877
Green (NCS),160,100,62,0,159,107,#009F6B
Green (Pantone),143,100,68,0,173,67,#00AD43
Green (pigment),149,100,65,0,165,80,#00A550
Green (RYB),95,72,69,102,176,50,#66B032
Green-blue,209,91,71,17,100,180,#1164B4
Green-cyan,160,100,60,0,153,102,#009966
Green Lizard,84,80,96,167,244,50,#A7F432
Green Sheen,168,37,68,110,174,161,#6EAEA1
Green-yellow,84,82,100,173,255,47,#ADFF2F
Grizzly,34,82,53,136,88,24,#885818
Grullo,34,21,66,169,154,134,#A99A86
Guppie green,150,100,100,0,255,127,#00FF7F
Gunmetal,200,15,19,42,52,57,#2A3439
Halayà úbe,323,45,40,102,55,84,#663854
Han blue,223,67,81,68,108,207,#446CCF
Han purple,255,90,98,82,24,250,#5218FA
Hansa yellow,51,54,91,233,214,107,#E9D66B
Harlequin,105,100,100,63,255,0,#3FFF00
Harlequin green,105,88,80,70,203,24,#46CB18
Harvard crimson,353,100,79,201,0,22,#C90016
Harvest gold,40,100,85,218,145,0,#DA9100
Heart Gold,60,100,50,128,128,0,#808000
Heat Wave,29,100,100,255,122,0,#FF7A00
Heidelberg Red [1],10,100,60,150,0,24,#960018
Heliotrope,286,55,100,223,115,255,#DF73FF
Heliotrope gray,303,11,67,170,152,168,#AA98A9
Heliotrope magenta,295,100,73,170,0,187,#AA00BB
Hollywood cerise,320,100,96,244,0,161,#F400A1
Honeydew,120,6,100,240,255,240,#F0FFF0
Honolulu blue,203,100,69,0,109,176,#006DB0
Hooker's green,163,40,47,73,121,107,#49796B
Hot magenta,313,89,100,255,29,206,#FF1DCE
Hot pink,330,59,100,255,105,180,#FF69B4
Hunter green,129,44,37,53,94,59,#355E3B
Iceberg,207,46,82,113,166,210,#71A6D2
Icterine,58,63,99,252,247,94,#FCF75E
Turquoise Surf,182,100,80,0,197,205,#00C5CD
Illuminating Emerald,164,66,57,49,145,119,#319177
Imperial,289,56,42,96,47,107,#602F6B
Imperial blue,226,100,58,0,35,149,#002395
Imperial purple,325,98,40,102,2,60,#66023C
Imperial red,355,83,93,237,41,57,#ED2939
Inchworm,84,61,93,178,236,93,#B2EC5D
Independence,231,30,43,76,81,109,#4C516D
India green,115,94,53,19,136,8,#138808
Indian red,0,55,80,205,92,92,#CD5C5C
Indian yellow,35,62,89,227,168,87,#E3A857
Indigo,266,100,100,75,0,130,#4B0082
Indigo dye,230,94,57,9,31,146,#091F92
